"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 10 16:55:35 UTC 2021","Fri Sep 10 16:55:37 UTC 2021","2000","","centos7-container","","","","QA 435","PCP QA Test No. 435

Exercise compressed archive files - gzip version



Copyright (c) 2014 Red Hat.

Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 16:53:00 UTC 2021","Fri Sep 10 16:53:20 UTC 2021","20000","","ubuntu1804-container","","","","QA 354","PCP QA Test No. 354

more serious exercising of record mode in libpcp_gui



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



check-group-include: folio



"
"passed","Fri Sep 10 17:05:52 UTC 2021","Fri Sep 10 17:05:52 UTC 2021","0","","fedora34-container","","","","QA 002","PCP QA Test No. 002

simplest possible verification of a pmcd and agent



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:00:30 UTC 2021","Fri Sep 10 17:00:31 UTC 2021","1000","","ubuntu2004-container","","","","QA 278","PCP QA Test No. 278

validate newhelp



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 16:54:58 UTC 2021","Fri Sep 10 16:54:59 UTC 2021","1000","","centos7-container","","","","QA 232","PCP QA Test No. 232

exercise instance API functions for PM_CONTEXT_LOCAL



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:00:04 UTC 2021","Fri Sep 10 17:00:23 UTC 2021","19000","","ubuntu2004-container","","","","QA 178","PCP QA Test No. 178

pmlogextract exerciser



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 17:01:41 UTC 2021","Fri Sep 10 17:01:41 UTC 2021","0","","fedora-rawhide-container","","","","QA 1274","PCP QA Test No. 1274

Test support for labels and help text in pmlogextract.

Specifically: test simply copying an archive containing labels and help text.



Copyright (c) 2018 Red Hat.  All Rights Reserved.



"
"passed","Fri Sep 10 17:02:34 UTC 2021","Fri Sep 10 17:02:34 UTC 2021","0","","debian10-container","","","","QA 453","PCP QA Test No. 453

Check Perl PCP::LogSummary



Copyright (c) 2011 Ken McDonell.  All Rights Reserved.



"
"passed","Fri Sep 10 17:00:15 UTC 2021","Fri Sep 10 17:00:34 UTC 2021","19000","","ubuntu2004-btf","","","","QA 178","PCP QA Test No. 178

pmlogextract exerciser



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Fri Sep 10 16:53:39 UTC 2021","Fri Sep 10 16:53:46 UTC 2021","7000","","ubuntu1804-container","","","","QA 707","PCP QA Test No. 707

Exercise python PMAPI layer - basic archive tests



Copyright (c) 2012-2014 Red Hat.



"
